Entry,Entry name,Protein names (Simplified),Gene names (primary),Gene names (synonyms),Kinase group,"Length
(AA)",Mass,"Protein names 
(Including synonyms)"
Q00532,CDKL1_HUMAN,Cyclin-dependent kinase-like 1 ,CDKL1,,CMGC,358,"41,803",Cyclin-dependent kinase-like 1 (EC 2.7.11.22) (Protein kinase p42 KKIALRE) (Serine/threonine-protein kinase KKIALRE)
Q92772,CDKL2_HUMAN,Cyclin-dependent kinase-like 2 ,CDKL2,,CMGC,493,"56,019",Cyclin-dependent kinase-like 2 (EC 2.7.11.22) (Protein kinase p56 KKIAMRE) (Serine/threonine-protein kinase KKIAMRE)
Q8IVW4,CDKL3_HUMAN,Cyclin-dependent kinase-like 3 ,CDKL3,NKIAMRE,CMGC,592,"67,514",Cyclin-dependent kinase-like 3 (EC 2.7.11.22) (Serine/threonine-protein kinase NKIAMRE)
Q5MAI5,CDKL4_HUMAN,Cyclin-dependent kinase-like 4 ,CDKL4,,CMGC,379,"43,384",Cyclin-dependent kinase-like 4 (EC 2.7.11.22)
O76039,CDKL5_HUMAN,Cyclin-dependent kinase-like 5 ,CDKL5,STK9,CMGC,1030,"115,538",Cyclin-dependent kinase-like 5 (EC 2.7.11.22) (Serine/threonine-protein kinase 9)
Q8TCT0,CERK1_HUMAN,Ceramide kinase ,CERK,KIAA1646,,537,"59,977",Ceramide kinase (hCERK) (EC 2.7.1.138) (Acylsphingosine kinase) (Lipid kinase 4) (LK4)
O14757,CHK1_HUMAN,Serine/threonine-protein kinase Chk1 ,CHEK1,CHK1,CAMK,476,"54,434",Serine/threonine-protein kinase Chk1 (EC 2.7.11.1) (CHK1 checkpoint homolog) (Cell cycle checkpoint kinase) (Checkpoint kinase-1)
O96017,CHK2_HUMAN,Serine/threonine-protein kinase Chk2 ,CHEK2,CDS1 CHK2 RAD53,CAMK,543,"60,915",Serine/threonine-protein kinase Chk2 (EC 2.7.11.1) (CHK2 checkpoint homolog) (Cds1 homolog) (Hucds1) (hCds1) (Checkpoint kinase 2)
P35790,CHKA_HUMAN,Choline kinase alpha ,CHKA,CHK CKI,,457,"52,249",Choline kinase alpha (CK) (EC 2.7.1.32) (CHETK-alpha) (Ethanolamine kinase) (EK) (EC 2.7.1.82)
Q9Y259,CHKB_HUMAN,Choline/ethanolamine kinase ,CHKB,CHETK CHKL,,395,"45,271",Choline/ethanolamine kinase (Choline kinase beta) (CK) (CKB) (EC 2.7.1.32) (Choline kinase-like protein) (Ethanolamine kinase) (EK) (EC 2.7.1.82) (Ethanolamine kinase beta) (EKB) (choline/ethanolamine kinase beta) (CKEKB)
O15111,IKKA_HUMAN,Inhibitor of nuclear factor kappa-B kinase subunit alpha ,CHUK,IKKA TCF16,Other,745,"84,640",Inhibitor of nuclear factor kappa-B kinase subunit alpha (I-kappa-B kinase alpha) (IKK-A) (IKK-alpha) (IkBKA) (IkappaB kinase) (EC 2.7.11.10) (Conserved helix-loop-helix ubiquitous kinase) (I-kappa-B kinase 1) (IKK1) (Nuclear factor NF-kappa-B inhibitor kinase alpha) (NFKBIKA) (Transcription factor 16) (TCF-16)
P33076,C2TA_HUMAN,MHC class II transactivator ,CIITA,MHC2TA,,1130,"123,514",MHC class II transactivator (CIITA) (EC 2.3.1.-) (EC 2.7.11.1)
Q9UPZ9,CILK1_HUMAN,Serine/threonine-protein kinase ICK ,CILK1,ICK KIAA0936,CMGC,632,"71,427",Serine/threonine-protein kinase ICK (EC 2.7.11.1) (Ciliogenesis associated kinase 1) (Intestinal cell kinase) (hICK) (Laryngeal cancer kinase 2) (LCK2) (MAK-related kinase) (MRK)
O14578,CTRO_HUMAN,Citron Rho-interacting kinase ,CIT,CRIK KIAA0949 STK21,AGC,2027,"231,431",Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)
P12277,KCRB_HUMAN,Creatine kinase B-type ,CKB,CKBB,,381,"42,644",Creatine kinase B-type (EC 2.7.3.2) (Brain creatine kinase) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase B-type) (CPK-B)
P06732,KCRM_HUMAN,Creatine kinase M-type ,CKM,CKMM,,381,"43,101",Creatine kinase M-type (EC 2.7.3.2) (Creatine kinase M chain) (Creatine phosphokinase M-type) (CPK-M) (M-CK)
P12532,KCRU_HUMAN,"Creatine kinase U-type, mitochondrial ",CKMT1A; CKMT1B,CKMT; CKMT,,417,"47,037","Creatine kinase U-type, mitochondrial (EC 2.7.3.2) (Acidic-type mitochondrial creatine kinase) (Mia-CK) (Ubiquitous mitochondrial creatine kinase) (U-MtCK)"
P17540,KCRS_HUMAN,"Creatine kinase S-type, mitochondrial ",CKMT2,,,419,"47,504","Creatine kinase S-type, mitochondrial (EC 2.7.3.2) (Basic-type mitochondrial creatine kinase) (Mib-CK) (Sarcomeric mitochondrial creatine kinase) (S-MtCK)"
P49759,CLK1_HUMAN,Dual specificity protein kinase CLK1 ,CLK1,CLK,CMGC,484,"57,291",Dual specificity protein kinase CLK1 (EC 2.7.12.1) (CDC-like kinase 1)
P49760,CLK2_HUMAN,Dual specificity protein kinase CLK2 ,CLK2,,CMGC,499,"60,090",Dual specificity protein kinase CLK2 (EC 2.7.12.1) (CDC-like kinase 2)
P49761,CLK3_HUMAN,Dual specificity protein kinase CLK3 ,CLK3,,CMGC,638,"73,515",Dual specificity protein kinase CLK3 (EC 2.7.12.1) (CDC-like kinase 3)
Q9HAZ1,CLK4_HUMAN,Dual specificity protein kinase CLK4 ,CLK4,,CMGC,481,"57,492",Dual specificity protein kinase CLK4 (EC 2.7.12.1) (CDC-like kinase 4)
Q92989,CLP1_HUMAN,Polyribonucleotide 5'-hydroxyl-kinase Clp1 ,CLP1,HEAB,,425,"47,646",Polyribonucleotide 5'-hydroxyl-kinase Clp1 (EC 2.7.1.78) (Polyadenylation factor Clp1) (Polynucleotide kinase Clp1) (Pre-mRNA cleavage complex II protein Clp1)
P30085,KCY_HUMAN,UMP-CMP kinase ,CMPK1,CMK CMPK UCK UMK UMPK,,196,"22,222",UMP-CMP kinase (EC 2.7.4.14) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Nucleoside-diphosphate kinase) (EC 2.7.4.6) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK)
Q5EBM0,CMPK2_HUMAN,"UMP-CMP kinase 2, mitochondrial ",CMPK2,,,449,"49,448","UMP-CMP kinase 2, mitochondrial (EC 2.7.4.14) (Nucleoside-diphosphate kinase) (EC 2.7.4.6)"
Q13057,COASY_HUMAN,Bifunctional coenzyme A synthase ,COASY,,,564,"62,329",Bifunctional coenzyme A synthase (CoA synthase) (NBP) (POV-2) [Includes: Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT); Dephospho-CoA kinase (DPCK) (EC 2.7.1.24) (Dephosphocoenzyme A kinase) (DPCOAK)]
Q8NI60,COQ8A_HUMAN,"Atypical kinase COQ8A, mitochondrial ",COQ8A,ADCK3 CABC1,Atypical,647,"71,950","Atypical kinase COQ8A, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)"
Q96D53,COQ8B_HUMAN,"Atypical kinase COQ8B, mitochondrial ",COQ8B,ADCK4,Atypical,544,"60,069","Atypical kinase COQ8B, mitochondrial (EC 2.7.-.-) (AarF domain-containing protein kinase 4) (Coenzyme Q protein 8B)"
P07333,CSF1R_HUMAN,Macrophage colony-stimulating factor 1 receptor ,CSF1R,FMS,TK,972,"107,984",Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)
P41240,CSK_HUMAN,Tyrosine-protein kinase CSK ,CSK,,TK,450,"50,704",Tyrosine-protein kinase CSK (EC 2.7.10.2) (C-Src kinase) (Protein-tyrosine kinase CYL)
P48729,KC1A_HUMAN,Casein kinase I isoform alpha ,CSNK1A1,,CK1,337,"38,915",Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)
Q8N752,KC1AL_HUMAN,Casein kinase I isoform alpha-like ,CSNK1A1L,,CK1,337,"39,086",Casein kinase I isoform alpha-like (CKI-alpha-like) (EC 2.7.11.1) (CK1)
P48730,KC1D_HUMAN,Casein kinase I isoform delta ,CSNK1D,HCKID,CK1,415,"47,330",Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26)
P49674,KC1E_HUMAN,Casein kinase I isoform epsilon ,CSNK1E,,CK1,416,"47,315",Casein kinase I isoform epsilon (CKI-epsilon) (CKIe) (EC 2.7.11.1)
Q9HCP0,KC1G1_HUMAN,Casein kinase I isoform gamma-1 ,CSNK1G1,,CK1,422,"48,511",Casein kinase I isoform gamma-1 (CKI-gamma 1) (EC 2.7.11.1)
P78368,KC1G2_HUMAN,Casein kinase I isoform gamma-2 ,CSNK1G2,CK1G2,CK1,415,"47,457",Casein kinase I isoform gamma-2 (CKI-gamma 2) (EC 2.7.11.1)
Q9Y6M4,KC1G3_HUMAN,Casein kinase I isoform gamma-3 ,CSNK1G3,,CK1,447,"51,389",Casein kinase I isoform gamma-3 (CKI-gamma 3) (EC 2.7.11.1)
P68400,CSK21_HUMAN,Casein kinase II subunit alpha ,CSNK2A1,CK2A1,CMGC,391,"45,144",Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1)
P19784,CSK22_HUMAN,Casein kinase II subunit alpha' ,CSNK2A2,CK2A2,CMGC,350,"41,213",Casein kinase II subunit alpha' (CK II alpha') (EC 2.7.11.1)
Q8NEV1,CSK23_HUMAN,Casein kinase II subunit alpha 3 ,CSNK2A3,CSNK2A1P,,391,"45,220",Casein kinase II subunit alpha 3 (CK II alpha 3) (EC 2.7.11.1) (Casein kinase II alpha 1 polypeptide pseudogene)
P53355,DAPK1_HUMAN,Death-associated protein kinase 1 ,DAPK1,DAPK,CAMK,1430,"160,046",Death-associated protein kinase 1 (DAP kinase 1) (EC 2.7.11.1)
Q9UIK4,DAPK2_HUMAN,Death-associated protein kinase 2 ,DAPK2,,CAMK,370,"42,898",Death-associated protein kinase 2 (DAP kinase 2) (EC 2.7.11.1) (DAP-kinase-related protein 1) (DRP-1)
O43293,DAPK3_HUMAN,Death-associated protein kinase 3 ,DAPK3,ZIPK,CAMK,454,"52,536",Death-associated protein kinase 3 (DAP kinase 3) (EC 2.7.11.1) (DAP-like kinase) (Dlk) (MYPT1 kinase) (Zipper-interacting protein kinase) (ZIP-kinase)
Q9Y4B6,DCAF1_HUMAN,DDB1- and CUL4-associated factor 1 ,DCAF1,KIAA0800 RIP VPRBP,,1507,"169,007",DDB1- and CUL4-associated factor 1 (HIV-1 Vpr-binding protein) (VprBP) (Serine/threonine-protein kinase VPRBP) (EC 2.7.11.1) (Vpr-interacting protein)
P27707,DCK_HUMAN,Deoxycytidine kinase ,DCK,,,260,"30,519",Deoxycytidine kinase (dCK) (EC 2.7.1.74) (Deoxyadenosine kinase) (EC 2.7.1.76) (Deoxyguanosine kinase) (EC 2.7.1.113)
O15075,DCLK1_HUMAN,Serine/threonine-protein kinase DCLK1 ,DCLK1,DCAMKL1 DCDC3A KIAA0369,CAMK,740,"82,224",Serine/threonine-protein kinase DCLK1 (EC 2.7.11.1) (Doublecortin domain-containing protein 3A) (Doublecortin-like and CAM kinase-like 1) (Doublecortin-like kinase 1)
Q8N568,DCLK2_HUMAN,Serine/threonine-protein kinase DCLK2 ,DCLK2,DCAMKL2 DCDC3B DCK2,CAMK,766,"83,606",Serine/threonine-protein kinase DCLK2 (EC 2.7.11.1) (CaMK-like CREB regulatory kinase 2) (CL2) (CLICK-II) (CLICK2) (Doublecortin domain-containing protein 3B) (Doublecortin-like and CAM kinase-like 2) (Doublecortin-like kinase 2)
Q9C098,DCLK3_HUMAN,Serine/threonine-protein kinase DCLK3 ,DCLK3,DCAMKL3 DCDC3C KIAA1765,CAMK,648,"73,814",Serine/threonine-protein kinase DCLK3 (EC 2.7.11.1) (Doublecortin domain-containing protein 3C) (Doublecortin-like and CAM kinase-like 3) (Doublecortin-like kinase 3)
Q08345,DDR1_HUMAN,Epithelial discoidin domain-containing receptor 1 ,DDR1,CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE,TK,913,"101,128",Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1) (EC 2.7.10.1) (CD167 antigen-like family member A) (Cell adhesion kinase) (Discoidin receptor tyrosine kinase) (HGK2) (Mammary carcinoma kinase 10) (MCK-10) (Protein-tyrosine kinase 3A) (Protein-tyrosine kinase RTK-6) (TRK E) (Tyrosine kinase DDR) (Tyrosine-protein kinase CAK) (CD antigen CD167a)
Q16832,DDR2_HUMAN,Discoidin domain-containing receptor 2 ,DDR2,NTRKR3 TKT TYRO10,TK,855,"96,736","Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)"
P23743,DGKA_HUMAN,Diacylglycerol kinase alpha ,DGKA,DAGK DAGK1,,735,"82,630",Diacylglycerol kinase alpha (DAG kinase alpha) (EC 2.7.1.107) (80 kDa diacylglycerol kinase) (Diglyceride kinase alpha) (DGK-alpha)
Q9Y6T7,DGKB_HUMAN,Diacylglycerol kinase beta ,DGKB,DAGK2 KIAA0718,,804,"90,595",Diacylglycerol kinase beta (DAG kinase beta) (EC 2.7.1.107) (90 kDa diacylglycerol kinase) (Diglyceride kinase beta) (DGK-beta)
Q16760,DGKD_HUMAN,Diacylglycerol kinase delta ,DGKD,KIAA0145,,1214,"134,525",Diacylglycerol kinase delta (DAG kinase delta) (EC 2.7.1.107) (130 kDa diacylglycerol kinase) (Diglyceride kinase delta) (DGK-delta)
P52429,DGKE_HUMAN,Diacylglycerol kinase epsilon ,DGKE,DAGK5,,567,"63,927",Diacylglycerol kinase epsilon (DAG kinase epsilon) (EC 2.7.1.107) (Diglyceride kinase epsilon) (DGK-epsilon)
P49619,DGKG_HUMAN,Diacylglycerol kinase gamma ,DGKG,DAGK3,,791,"89,124",Diacylglycerol kinase gamma (DAG kinase gamma) (EC 2.7.1.107) (Diglyceride kinase gamma) (DGK-gamma)
Q86XP1,DGKH_HUMAN,Diacylglycerol kinase eta ,DGKH,,,1220,"134,866",Diacylglycerol kinase eta (DAG kinase eta) (EC 2.7.1.107) (Diglyceride kinase eta) (DGK-eta)
O75912,DGKI_HUMAN,Diacylglycerol kinase iota ,DGKI,,,1065,"116,997",Diacylglycerol kinase iota (DAG kinase iota) (EC 2.7.1.107) (Diglyceride kinase iota) (DGK-iota)
Q5KSL6,DGKK_HUMAN,Diacylglycerol kinase kappa ,DGKK,,,1271,"141,829",Diacylglycerol kinase kappa (DAG kinase kappa) (EC 2.7.1.107) (142 kDa diacylglycerol kinase) (Diglyceride kinase kappa) (DGK-kappa)
P52824,DGKQ_HUMAN,Diacylglycerol kinase theta ,DGKQ,DAGK4,,942,"101,155",Diacylglycerol kinase theta (DAG kinase theta) (EC 2.7.1.107) (Diglyceride kinase theta) (DGK-theta)
Q13574,DGKZ_HUMAN,Diacylglycerol kinase zeta ,DGKZ,DAGK6,,928,"103,981",Diacylglycerol kinase zeta (DAG kinase zeta) (EC 2.7.1.107) (Diglyceride kinase zeta) (DGK-zeta)
Q16854,DGUOK_HUMAN,"Deoxyguanosine kinase, mitochondrial ",DGUOK,DGK,,277,"32,056","Deoxyguanosine kinase, mitochondrial (EC 2.7.1.113) (Deoxyadenosine kinase, mitochondrial) (EC 2.7.1.76)"
Q09013,DMPK_HUMAN,Myotonin-protein kinase ,DMPK,DM1PK MDPK,AGC,629,"69,385",Myotonin-protein kinase (MT-PK) (EC 2.7.11.1) (DM-kinase) (DMK) (DM1 protein kinase) (DMPK) (Myotonic dystrophy protein kinase)
Q9UPQ8,DOLK_HUMAN,Dolichol kinase ,DOLK,KIAA1094 TMEM15,,538,"59,268",Dolichol kinase (EC 2.7.1.108) (Transmembrane protein 15)
Q6XUX3,DUSTY_HUMAN,Dual serine/threonine and tyrosine protein kinase ,DSTYK,KIAA0472 RIP5 RIPK5 SGK496,Other,929,"105,206",Dual serine/threonine and tyrosine protein kinase (EC 2.7.12.1) (Dusty protein kinase) (Dusty PK) (RIP-homologous kinase) (Receptor-interacting serine/threonine-protein kinase 5) (Sugen kinase 496) (SgK496)
P23919,KTHY_HUMAN,Thymidylate kinase ,DTYMK,CDC8 TMPK TYMK,,212,"23,819",Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)
Q13627,DYR1A_HUMAN,Dual specificity tyrosine-phosphorylation-regulated kinase 1A ,DYRK1A,DYRK MNB MNBH,CMGC,763,"85,584",Dual specificity tyrosine-phosphorylation-regulated kinase 1A (EC 2.7.12.1) (Dual specificity YAK1-related kinase) (HP86) (Protein kinase minibrain homolog) (MNBH) (hMNB)
Q9Y463,DYR1B_HUMAN,Dual specificity tyrosine-phosphorylation-regulated kinase 1B ,DYRK1B,MIRK,CMGC,629,"69,198",Dual specificity tyrosine-phosphorylation-regulated kinase 1B (EC 2.7.12.1) (Minibrain-related kinase) (Mirk protein kinase)
Q92630,DYRK2_HUMAN,Dual specificity tyrosine-phosphorylation-regulated kinase 2 ,DYRK2,,CMGC,601,"66,652",Dual specificity tyrosine-phosphorylation-regulated kinase 2 (EC 2.7.12.1)
O43781,DYRK3_HUMAN,Dual specificity tyrosine-phosphorylation-regulated kinase 3 ,DYRK3,,CMGC,588,"65,714",Dual specificity tyrosine-phosphorylation-regulated kinase 3 (EC 2.7.12.1) (Regulatory erythroid kinase) (REDK)
Q9NR20,DYRK4_HUMAN,Dual specificity tyrosine-phosphorylation-regulated kinase 4 ,DYRK4,,CMGC,520,"59,608",Dual specificity tyrosine-phosphorylation-regulated kinase 4 (EC 2.7.12.1)
O00418,EF2K_HUMAN,Eukaryotic elongation factor 2 kinase ,EEF2K,,Atypical,725,"82,144",Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase)
P00533,EGFR_HUMAN,Epidermal growth factor receptor ,EGFR,ERBB ERBB1 HER1,TK,1210,"134,277",Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)
Q9BQI3,E2AK1_HUMAN,Eukaryotic translation initiation factor 2-alpha kinase 1 ,EIF2AK1,HRI KIAA1369,Other,630,"71,106",Eukaryotic translation initiation factor 2-alpha kinase 1 (EC 2.7.11.1) (Heme-controlled repressor) (HCR) (Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase) (Heme-regulated inhibitor) (hHRI) (Hemin-sensitive initiation factor 2-alpha kinase)
P19525,E2AK2_HUMAN,"Interferon-induced, double-stranded RNA-activated protein kinase ",EIF2AK2,PKR PRKR,Other,551,"62,094","Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)"
Q9NZJ5,E2AK3_HUMAN,Eukaryotic translation initiation factor 2-alpha kinase 3 ,EIF2AK3,PEK PERK,Other,1116,"125,216",Eukaryotic translation initiation factor 2-alpha kinase 3 (EC 2.7.11.1) (PRKR-like endoplasmic reticulum kinase) (Pancreatic eIF2-alpha kinase) (HsPEK)
Q9P2K8,E2AK4_HUMAN,eIF-2-alpha kinase GCN2 ,EIF2AK4,GCN2 KIAA1338,Other,1649,"186,911",eIF-2-alpha kinase GCN2 (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 4) (GCN2-like protein)
P21709,EPHA1_HUMAN,Ephrin type-A receptor 1 ,EPHA1,EPH EPHT EPHT1,TK,976,"108,127",Ephrin type-A receptor 1 (hEpha1) (EC 2.7.10.1) (EPH tyrosine kinase) (EPH tyrosine kinase 1) (Erythropoietin-producing hepatoma receptor) (Tyrosine-protein kinase receptor EPH)
Q5JZY3,EPHAA_HUMAN,Ephrin type-A receptor 10 ,EPHA10,,TK,1008,"109,716",Ephrin type-A receptor 10 (EC 2.7.10.1)
P29317,EPHA2_HUMAN,Ephrin type-A receptor 2 ,EPHA2,ECK,TK,976,"108,266",Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK)
P29320,EPHA3_HUMAN,Ephrin type-A receptor 3 ,EPHA3,ETK ETK1 HEK TYRO4,TK,983,"110,131",Ephrin type-A receptor 3 (EC 2.7.10.1) (EPH-like kinase 4) (EK4) (hEK4) (HEK) (Human embryo kinase) (Tyrosine-protein kinase TYRO4) (Tyrosine-protein kinase receptor ETK1) (Eph-like tyrosine kinase 1)
P54764,EPHA4_HUMAN,Ephrin type-A receptor 4 ,EPHA4,HEK8 SEK TYRO1,TK,986,"109,860",Ephrin type-A receptor 4 (EC 2.7.10.1) (EPH-like kinase 8) (EK8) (hEK8) (Tyrosine-protein kinase TYRO1) (Tyrosine-protein kinase receptor SEK)
P54756,EPHA5_HUMAN,Ephrin type-A receptor 5 ,EPHA5,BSK EHK1 HEK7 TYRO4,TK,1037,"114,803",Ephrin type-A receptor 5 (EC 2.7.10.1) (Brain-specific kinase) (EPH homology kinase 1) (EHK-1) (EPH-like kinase 7) (EK7) (hEK7)
Q9UF33,EPHA6_HUMAN,Ephrin type-A receptor 6 ,EPHA6,EHK2 HEK12,TK,1036,"116,379",Ephrin type-A receptor 6 (EC 2.7.10.1) (EPH homology kinase 2) (EHK-2) (EPH-like kinase 12) (EK12)
Q15375,EPHA7_HUMAN,Ephrin type-A receptor 7 ,EPHA7,EHK3 HEK11,TK,998,"112,097",Ephrin type-A receptor 7 (EC 2.7.10.1) (EPH homology kinase 3) (EHK-3) (EPH-like kinase 11) (EK11) (hEK11)
P29322,EPHA8_HUMAN,Ephrin type-A receptor 8 ,EPHA8,EEK HEK3 KIAA1459,TK,1005,"111,003",Ephrin type-A receptor 8 (EC 2.7.10.1) (EPH- and ELK-related kinase) (EPH-like kinase 3) (EK3) (hEK3) (Tyrosine-protein kinase receptor EEK)
P54762,EPHB1_HUMAN,Ephrin type-B receptor 1 ,EPHB1,ELK EPHT2 HEK6 NET,TK,984,"109,885",Ephrin type-B receptor 1 (EC 2.7.10.1) (ELK) (EPH tyrosine kinase 2) (EPH-like kinase 6) (EK6) (hEK6) (Neuronally-expressed EPH-related tyrosine kinase) (NET) (Tyrosine-protein kinase receptor EPH-2)
P29323,EPHB2_HUMAN,Ephrin type-B receptor 2 ,EPHB2,DRT EPHT3 EPTH3 ERK HEK5 TYRO5,TK,1055,"117,493",Ephrin type-B receptor 2 (EC 2.7.10.1) (Developmentally-regulated Eph-related tyrosine kinase) (ELK-related tyrosine kinase) (EPH tyrosine kinase 3) (EPH-like kinase 5) (EK5) (hEK5) (Renal carcinoma antigen NY-REN-47) (Tyrosine-protein kinase TYRO5) (Tyrosine-protein kinase receptor EPH-3) [Cleaved into: EphB2/CTF1; EphB2/CTF2]
P54753,EPHB3_HUMAN,Ephrin type-B receptor 3 ,EPHB3,ETK2 HEK2 TYRO6,TK,998,"110,330",Ephrin type-B receptor 3 (EC 2.7.10.1) (EPH-like tyrosine kinase 2) (EPH-like kinase 2) (Embryonic kinase 2) (EK2) (hEK2) (Tyrosine-protein kinase TYRO6)
P54760,EPHB4_HUMAN,Ephrin type-B receptor 4 ,EPHB4,HTK MYK1 TYRO11,TK,987,"108,270",Ephrin type-B receptor 4 (EC 2.7.10.1) (Hepatoma transmembrane kinase) (Tyrosine-protein kinase TYRO11)
P04626,ERBB2_HUMAN,Receptor tyrosine-protein kinase erbB-2 ,ERBB2,HER2 MLN19 NEU NGL,TK,1255,"137,910",Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)
P21860,ERBB3_HUMAN,Receptor tyrosine-protein kinase erbB-3 ,ERBB3,HER3,TK,1342,"148,098",Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-3) (Tyrosine kinase-type cell surface receptor HER3)
Q15303,ERBB4_HUMAN,Receptor tyrosine-protein kinase erbB-4 ,ERBB4,HER4,TK,1308,"146,808",Receptor tyrosine-protein kinase erbB-4 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-4) (Tyrosine kinase-type cell surface receptor HER4) (p180erbB4) [Cleaved into: ERBB4 intracellular domain (4ICD) (E4ICD) (s80HER4)]
O75460,ERN1_HUMAN,Serine/threonine-protein kinase/endoribonuclease IRE1 ,ERN1,IRE1,Other,977,"109,735",Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]
Q76MJ5,ERN2_HUMAN,Serine/threonine-protein kinase/endoribonuclease IRE2 ,ERN2,IRE2,Other,926,"102,480",Serine/threonine-protein kinase/endoribonuclease IRE2 (Endoplasmic reticulum-to-nucleus signaling 2) (Inositol-requiring protein 2) (hIRE2p) (Ire1-beta) (IRE1b) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]
Q9HBU6,EKI1_HUMAN,Ethanolamine kinase 1 ,ETNK1,EKI1,,452,"50,968",Ethanolamine kinase 1 (EKI 1) (EC 2.7.1.82)
Q9NVF9,EKI2_HUMAN,Ethanolamine kinase 2 ,ETNK2,EKI2,,386,"44,781",Ethanolamine kinase 2 (EKI 2) (EC 2.7.1.82) (Ethanolamine kinase-like protein)
O75063,XYLK_HUMAN,Glycosaminoglycan xylosylkinase ,FAM20B,KIAA0475,,409,"46,432",Glycosaminoglycan xylosylkinase (EC 2.7.1.-) (Xylose kinase)
Q8IXL6,FA20C_HUMAN,Extracellular serine/threonine protein kinase FAM20C ,FAM20C,DMP4,,584,"66,234",Extracellular serine/threonine protein kinase FAM20C (EC 2.7.11.1) (Dentin matrix protein 4) (DMP-4) (Golgi casein kinase) (Golgi-enriched fraction casein kinase) (GEF-CK)
Q14296,FASTK_HUMAN,Fas-activated serine/threonine kinase ,FASTK,,Atypical,549,"61,104",Fas-activated serine/threonine kinase (FAST kinase) (EC 2.7.11.8)
Q8N0W3,FCSK_HUMAN,L-fucose kinase ,FCSK,FUK,,1084,"117,623",L-fucose kinase (Fucokinase) (EC 2.7.1.52)
P16591,FER_HUMAN,Tyrosine-protein kinase Fer ,FER,TYK3,TK,822,"94,638",Tyrosine-protein kinase Fer (EC 2.7.10.2) (Feline encephalitis virus-related kinase FER) (Fujinami poultry sarcoma/Feline sarcoma-related protein Fer) (Proto-oncogene c-Fer) (Tyrosine kinase 3) (p94-Fer)
